transaction_id,customer_id,counterparty,transaction_type,amount,direction,timestamp,paid_in,paid_out,balance,tier,hour,day_of_week,month,is_weekend,is_night,is_betting,is_international,is_kadogo,balance_after
TXN_0000000028,CUST_000250,Paybill-347617,Lipa Na M-PESA (Paybill),165.11,outflow,2024-07-01T07:47:42.792651+00:00,0.0,165.11,66505.88,1,7,0,7,false,false,false,false,true,66505.88
TXN_0000000029,CUST_000768,Agent-616,Agent Withdrawal,513.54,outflow,2024-07-01T07:49:42.546094+00:00,0.0,513.54,121116.67,1,7,0,7,false,false,false,false,false,121116.67
TXN_0000000030,CUST_000898,Paybill-395416,Lipa Na M-PESA (Paybill),9412.32,outflow,2024-07-01T07:59:48.667934+00:00,0.0,9412.32,47845.43,1,7,0,7,false,false,false,false,false,47845.43
TXN_0000000031,CUST_000523,Agent-124,Agent Withdrawal,27.27,outflow,2024-07-01T08:00:41.286251+00:00,0.0,27.27,328299.23,2,8,0,7,false,false,false,false,false,328299.23
TXN_0000000032,CUST_000069,User-34600,Send Money,636.75,outflow,2024-07-01T08:09:40.456615+00:00,0.0,636.75,102138.16,1,8,0,7,false,false,false,false,false,102138.16
TXN_0000000033,CUST_000539,Agent-983,Agent Withdrawal,842.5,outflow,2024-07-01T08:12:18.177208+00:00,0.0,842.5,65082.96,1,8,0,7,false,false,false,false,false,65082.96
TXN_0000000034,CUST_000756,User-60618,Send Money,1817.88,outflow,2024-07-01T08:19:45.264486+00:00,0.0,1817.88,165755.2,2,8,0,7,false,false,false,false,false,165755.2
TXN_0000000035,CUST_000133,Paybill-294481,Lipa Na M-PESA (Paybill),181.68,outflow,2024-07-01T08:20:34.489715+00:00,0.0,181.68,131943.04,2,8,0,7,false,false,false,false,true,131943.04
TXN_0000000036,CUST_000425,User-49072,Send Money,525.72,outflow,2024-07-01T08:30:07.572444+00:00,0.0,525.72,96190.41,1,8,0,7,false,false,false,false,false,96190.41
TXN_0000000037,CUST_000925,Odibets,Lipa Na M-PESA (Buy Goods),272.01,outflow,2024-07-01T08:33:31.360367+00:00,0.0,272.01,231260.53,2,8,0,7,false,false,true,false,false,231260.53
TXN_0000000038,CUST_000723,User-92347,Received Money,333.61,inflow,2024-07-01T08:39:27.689726+00:00,333.61,0.0,297765.93,3,8,0,7,false,false,false,false,false,297765.93
TXN_0000000039,CUST_000289,Agent-412,Agent Withdrawal,340.43,outflow,2024-07-01T08:46:05.101692+00:00,0.0,340.43,121555.52,1,8,0,7,false,false,false,false,false,121555.52
TXN_0000000040,CUST_000907,Agent-265,Agent Withdrawal,270.46,outflow,2024-07-01T08:52:51.567590+00:00,0.0,270.46,94435.55,1,8,0,7,false,false,false,false,false,94435.55
TXN_0000000041,CUST_000247,Merchant-8018,Lipa Na M-PESA (Buy Goods),192.5,outflow,2024-07-01T08:53:55.102271+00:00,0.0,192.5,84725.92,1,8,0,7,false,false,false,false,true,84725.92
TXN_0000000042,CUST_000586,Paybill-316848,Lipa Na M-PESA (Paybill),4468.98,outflow,2024-07-01T08:56:45.602399+00:00,0.0,4468.98,373626.4,3,8,0,7,false,false,false,false,false,373626.4
TXN_0000000043,CUST_000806,M-Shwari,Others,317.52,inflow,2024-07-01T09:02:48.803507+00:00,317.52,0.0,453107.95,2,9,0,7,false,false,false,false,false,453107.95
TXN_0000000044,CUST_000534,M-Shwari,Others,972.53,outflow,2024-07-01T09:04:08.231472+00:00,0.0,972.53,163278.77,1,9,0,7,false,false,false,false,false,163278.77
TXN_0000000045,CUST_000032,Bonga Points,Others,13921.66,outflow,2024-07-01T09:06:08.942997+00:00,0.0,13921.66,137402.75,2,9,0,7,false,false,false,false,false,137402.75
TXN_0000000046,CUST_000452,Wise,Received Money,514.68,inflow,2024-07-01T09:06:13.664984+00:00,514.68,0.0,145409.02,2,9,0,7,false,false,false,true,false,145409.02
TXN_0000000047,CUST_000029,User-58974,Send Money,476.45,outflow,2024-07-01T09:07:10.606615+00:00,0.0,476.45,258590.2,3,9,0,7,false,false,false,false,false,258590.2
TXN_0000000048,CUST_000706,Merchant-9134,Lipa Na M-PESA (Buy Goods),275.1,outflow,2024-07-01T09:09:26.617975+00:00,0.0,275.1,288355.46,3,9,0,7,false,false,false,false,false,288355.46
TXN_0000000049,CUST_000003,Agent-585,Agent Deposit,809.38,inflow,2024-07-01T09:10:45.750483+00:00,809.38,0.0,123073.56,2,9,0,7,false,false,false,false,false,123073.56
TXN_0000000050,CUST_000452,Agent-893,Agent Withdrawal,730.7,outflow,2024-07-01T09:12:46.140824+00:00,0.0,730.7,144678.32,2,9,0,7,false,false,false,false,false,144678.32
TXN_0000000051,CUST_000831,Merchant-2568,Lipa Na M-PESA (Buy Goods),1079.12,outflow,2024-07-01T09:18:55.560644+00:00,0.0,1079.12,189774.47,2,9,0,7,false,false,false,false,false,189774.47
TXN_0000000052,CUST_000634,Agent-333,Agent Withdrawal,543.58,outflow,2024-07-01T09:19:16.893943+00:00,0.0,543.58,87715.6,1,9,0,7,false,false,false,false,false,87715.6
TXN_0000000053,CUST_000201,M-Shwari,Others,374.65,inflow,2024-07-01T09:20:13.860304+00:00,374.65,0.0,68770.37,1,9,0,7,false,false,false,false,false,68770.37
TXN_0000000054,CUST_000130,M-Shwari,Others,630.83,outflow,2024-07-01T09:21:05.284822+00:00,0.0,630.83,139481.88,3,9,0,7,false,false,false,false,false,139481.88
TXN_0000000055,CUST_000037,M-Shwari,Others,677.84,outflow,2024-07-01T09:21:51.389946+00:00,0.0,677.84,284322.16,1,9,0,7,false,false,false,false,false,284322.16
TXN_0000000056,CUST_000175,Paybill-415160,Lipa Na M-PESA (Paybill),706.1,outflow,2024-07-01T09:34:24.693457+00:00,0.0,706.1,248631.1,2,9,0,7,false,false,false,false,false,248631.1
TXN_0000000057,CUST_000145,User-54972,Send Money,1887.29,outflow,2024-07-01T09:35:10.371179+00:00,0.0,1887.29,106121.47,1,9,0,7,false,false,false,false,false,106121.47
TXN_0000000058,CUST_000073,User-41003,Received Money,329.56,inflow,2024-07-01T09:36:22.625353+00:00,329.56,0.0,152382.62,1,9,0,7,false,false,false,false,false,152382.62
TXN_0000000059,CUST_000637,User-65662,Send Money,2971.2,outflow,2024-07-01T09:38:26.584464+00:00,0.0,2971.2,222089.3,2,9,0,7,false,false,false,false,false,222089.3
TXN_0000000060,CUST_000661,Paybill-107992,Lipa Na M-PESA (Paybill),16250.12,outflow,2024-07-01T09:39:17.351519+00:00,0.0,16250.12,84834.31,1,9,0,7,false,false,false,false,false,84834.31
TXN_0000000061,CUST_000907,User-19983,Send Money,164.67,outflow,2024-07-01T09:40:23.207585+00:00,0.0,164.67,94270.88,1,9,0,7,false,false,false,false,false,94270.88
TXN_0000000062,CUST_000931,Agent-401,Agent Deposit,3846.89,inflow,2024-07-01T09:46:07.443531+00:00,3846.89,0.0,331154.16,2,9,0,7,false,false,false,false,false,331154.16
TXN_0000000063,CUST_000454,User-48431,Send Money,4683.25,outflow,2024-07-01T09:51:19.703096+00:00,0.0,4683.25,168269.42,2,9,0,7,false,false,false,false,false,168269.42
TXN_0000000064,CUST_000670,User-87042,Send Money,2001.59,outflow,2024-07-01T09:52:46.189361+00:00,0.0,2001.59,71714.84,1,9,0,7,false,false,false,false,false,71714.84
TXN_0000000065,CUST_000513,Agent-146,Agent Withdrawal,14.38,outflow,2024-07-01T09:57:32.217316+00:00,0.0,14.38,57745.76,1,9,0,7,false,false,false,false,false,57745.76
TXN_0000000066,CUST_000479,Agent-130,Agent Withdrawal,2631.81,outflow,2024-07-01T09:59:14.435405+00:00,0.0,2631.81,28089.07,1,9,0,7,false,false,false,false,false,28089.07
TXN_0000000067,CUST_000110,User-34635,Send Money,3155.07,outflow,2024-07-01T10:01:20.906487+00:00,0.0,3155.07,87109.05,1,10,0,7,false,false,false,false,false,87109.05
TXN_0000000068,CUST_000160,User-63207,Received Money,662.55,inflow,2024-07-01T10:03:55.649075+00:00,662.55,0.0,133715.12,2,10,0,7,false,false,false,false,false,133715.12
TXN_0000000069,CUST_000705,Agent-426,Agent Withdrawal,515.53,outflow,2024-07-01T10:06:28.815393+00:00,0.0,515.53,474484.47,2,10,0,7,false,false,false,false,false,474484.47
TXN_0000000070,CUST_000152,User-49400,Send Money,4663.37,outflow,2024-07-01T10:08:24.836177+00:00,0.0,4663.37,339171.96,2,10,0,7,false,false,false,false,false,339171.96
TXN_0000000071,CUST_000707,User-93804,Received Money,4869.23,inflow,2024-07-01T10:08:56.827046+00:00,4869.23,0.0,49611.0,1,10,0,7,false,false,false,false,false,49611.0
TXN_0000000072,CUST_000470,Merchant-8711,Lipa Na M-PESA (Buy Goods),14614.57,outflow,2024-07-01T10:09:22.881033+00:00,0.0,14614.57,182071.78,2,10,0,7,false,false,false,false,false,182071.78
TXN_0000000073,CUST_000651,22Bet,Received Money,86.16,inflow,2024-07-01T10:10:52.343202+00:00,86.16,0.0,232828.71,2,10,0,7,false,false,true,false,true,232828.71
TXN_0000000074,CUST_000897,User-64357,Received Money,16.88,inflow,2024-07-01T10:11:51.232083+00:00,16.88,0.0,232297.57,2,10,0,7,false,false,false,false,true,232297.57
TXN_0000000075,CUST_000848,User-14045,Send Money,11.59,outflow,2024-07-01T10:15:59.893820+00:00,0.0,11.59,82959.41,1,10,0,7,false,false,false,false,true,82959.41
TXN_0000000076,CUST_000423,Odibets,Send Money,1253.95,outflow,2024-07-01T10:18:54.654116+00:00,0.0,1253.95,283746.05,1,10,0,7,false,false,true,false,false,283746.05
TXN_0000000077,CUST_000099,Fuliza,Others,1614.26,inflow,2024-07-01T10:20:32.569243+00:00,1614.26,0.0,111527.86,1,10,0,7,false,false,false,false,false,111527.86
TXN_0000000078,CUST_000077,Agent-435,Agent Withdrawal,367.09,outflow,2024-07-01T10:21:51.229742+00:00,0.0,367.09,386324.54,3,10,0,7,false,false,false,false,false,386324.54
TXN_0000000079,CUST_000701,User-37341,Send Money,4182.53,outflow,2024-07-01T10:23:46.674730+00:00,0.0,4182.53,298686.48,2,10,0,7,false,false,false,false,false,298686.48
TXN_0000000080,CUST_000318,Wise,Received Money,136.24,inflow,2024-07-01T10:27:32.826327+00:00,136.24,0.0,149355.32,3,10,0,7,false,false,false,true,false,149355.32
TXN_0000000081,CUST_000896,Merchant-1070,Lipa Na M-PESA (Buy Goods),44.8,outflow,2024-07-01T10:29:01.665226+00:00,0.0,44.8,62945.89,1,10,0,7,false,false,false,false,true,62945.89
TXN_0000000082,CUST_000374,User-14015,Send Money,1727.77,outflow,2024-07-01T10:29:07.068906+00:00,0.0,1727.77,80639.69,1,10,0,7,false,false,false,false,false,80639.69
TXN_0000000083,CUST_000492,User-47562,Send Money,191.11,outflow,2024-07-01T10:29:20.866534+00:00,0.0,191.11,446424.91,2,10,0,7,false,false,false,false,false,446424.91
TXN_0000000084,CUST_000840,User-45004,Send Money,1626.6,outflow,2024-07-01T10:30:23.230489+00:00,0.0,1626.6,68522.76,1,10,0,7,false,false,false,false,false,68522.76
TXN_0000000085,CUST_000831,Paybill-985454,Lipa Na M-PESA (Paybill),98.87,outflow,2024-07-01T10:32:20.104821+00:00,0.0,98.87,189675.6,2,10,0,7,false,false,false,false,true,189675.6
TXN_0000000086,CUST_000714,User-31230,Send Money,254.47,outflow,2024-07-01T10:34:22.257109+00:00,0.0,254.47,251254.93,3,10,0,7,false,false,false,false,false,251254.93
TXN_0000000087,CUST_000549,User-20023,Send Money,121.75,outflow,2024-07-01T10:35:50.011741+00:00,0.0,121.75,60338.27,1,10,0,7,false,false,false,false,false,60338.27
TXN_0000000088,CUST_000163,Agent-216,Agent Deposit,388.99,inflow,2024-07-01T10:37:15.979518+00:00,388.99,0.0,78671.03,1,10,0,7,false,false,false,false,false,78671.03
TXN_0000000089,CUST_000696,User-86305,Send Money,254.04,outflow,2024-07-01T10:37:32.537155+00:00,0.0,254.04,88969.05,1,10,0,7,false,false,false,false,false,88969.05
TXN_0000000090,CUST_000491,User-53557,Received Money,250.29,inflow,2024-07-01T10:38:35.311777+00:00,250.29,0.0,174912.48,2,10,0,7,false,false,false,false,false,174912.48
TXN_0000000091,CUST_000534,Agent-803,Agent Deposit,320.56,inflow,2024-07-01T10:40:50.237686+00:00,320.56,0.0,163599.33,1,10,0,7,false,false,false,false,false,163599.33
TXN_0000000092,CUST_000160,Merchant-7922,Lipa Na M-PESA (Buy Goods),487.16,outflow,2024-07-01T10:41:45.517570+00:00,0.0,487.16,133227.96,2,10,0,7,false,false,false,false,false,133227.96
TXN_0000000093,CUST_000187,Agent-826,Agent Withdrawal,790.01,outflow,2024-07-01T10:51:57.017842+00:00,0.0,790.01,371693.1,3,10,0,7,false,false,false,false,false,371693.1
TXN_0000000094,CUST_000310,Okoa Jahazi,Others,2566.56,outflow,2024-07-01T10:55:24.626878+00:00,0.0,2566.56,311757.35,2,10,0,7,false,false,false,false,false,311757.35
TXN_0000000095,CUST_000406,Agent-594,Agent Withdrawal,449.72,outflow,2024-07-01T10:56:00.995093+00:00,0.0,449.72,106439.14,1,10,0,7,false,false,false,false,false,106439.14
TXN_0000000096,CUST_000138,Paybill-381601,Lipa Na M-PESA (Paybill),341.14,outflow,2024-07-01T10:56:56.264891+00:00,0.0,341.14,106537.48,1,10,0,7,false,false,false,false,false,106537.48
TXN_0000000097,CUST_000093,Paybill-146418,Lipa Na M-PESA (Paybill),818.37,outflow,2024-07-01T10:57:27.824870+00:00,0.0,818.37,199204.92,2,10,0,7,false,false,false,false,false,199204.92
TXN_0000000098,CUST_000947,User-19370,Send Money,593.97,outflow,2024-07-01T11:05:41.922054+00:00,0.0,593.97,125740.13,1,11,0,7,false,false,false,false,false,125740.13
TXN_0000000099,CUST_000720,Bonga Points,Others,110.08,inflow,2024-07-01T11:10:46.969944+00:00,110.08,0.0,105851.44,1,11,0,7,false,false,false,false,false,105851.44
TXN_0000000100,CUST_000923,User-83444,Send Money,1106.89,outflow,2024-07-01T11:14:11.624791+00:00,0.0,1106.89,153341.5,1,11,0,7,false,false,false,false,false,153341.5
TXN_0000000101,CUST_000035,Paybill-895301,Lipa Na M-PESA (Paybill),1766.83,outflow,2024-07-01T11:19:28.772673+00:00,0.0,1766.83,100651.23,2,11,0,7,false,false,false,false,false,100651.23
TXN_0000000102,CUST_000774,User-30640,Received Money,7655.82,inflow,2024-07-01T11:22:21.117001+00:00,7655.82,0.0,88434.78,3,11,0,7,false,false,false,false,false,88434.78
TXN_0000000103,CUST_000183,User-30469,Received Money,123.56,inflow,2024-07-01T11:22:27.111123+00:00,123.56,0.0,94839.97,1,11,0,7,false,false,false,false,false,94839.97
TXN_0000000104,CUST_000118,Agent-319,Agent Deposit,828.55,inflow,2024-07-01T11:23:41.788713+00:00,828.55,0.0,155321.3,1,11,0,7,false,false,false,false,false,155321.3
TXN_0000000105,CUST_000816,Merchant-1589,Lipa Na M-PESA (Buy Goods),2632.65,outflow,2024-07-01T11:26:03.446200+00:00,0.0,2632.65,183277.19,3,11,0,7,false,false,false,false,false,183277.19
TXN_0000000106,CUST_000489,Merchant-7488,Lipa Na M-PESA (Buy Goods),4710.7,outflow,2024-07-01T11:26:07.412150+00:00,0.0,4710.7,80395.21,1,11,0,7,false,false,false,false,false,80395.21
TXN_0000000107,CUST_000062,User-90832,Send Money,1295.28,outflow,2024-07-01T11:27:28.774010+00:00,0.0,1295.28,441746.27,2,11,0,7,false,false,false,false,false,441746.27
TXN_0000000108,CUST_000975,Betika,Lipa Na M-PESA (Paybill),918.47,outflow,2024-07-01T11:28:30.159733+00:00,0.0,918.47,166246.53,1,11,0,7,false,false,true,false,false,166246.53
TXN_0000000109,CUST_000796,User-75455,Send Money,54.9,outflow,2024-07-01T11:30:45.006872+00:00,0.0,54.9,165470.88,3,11,0,7,false,false,false,false,true,165470.88
TXN_0000000110,CUST_000683,User-40073,Send Money,5081.23,outflow,2024-07-01T11:40:25.686720+00:00,0.0,5081.23,250601.16,1,11,0,7,false,false,false,false,false,250601.16
TXN_0000000111,CUST_000091,User-83461,Send Money,147.36,outflow,2024-07-01T11:42:54.571510+00:00,0.0,147.36,373884.07,2,11,0,7,false,false,false,false,false,373884.07
TXN_0000000112,CUST_000836,User-10908,Send Money,695.89,outflow,2024-07-01T11:47:46.491268+00:00,0.0,695.89,121532.69,1,11,0,7,false,false,false,false,false,121532.69
TXN_0000000113,CUST_000008,Merchant-4680,Lipa Na M-PESA (Buy Goods),1653.34,outflow,2024-07-01T11:49:28.303616+00:00,0.0,1653.34,163575.44,1,11,0,7,false,false,false,false,false,163575.44
TXN_0000000114,CUST_000837,22Bet,Agent Withdrawal,2144.94,outflow,2024-07-01T11:57:59.580825+00:00,0.0,2144.94,147049.51,1,11,0,7,false,false,true,false,false,147049.51
TXN_0000000115,CUST_000798,Agent-289,Agent Deposit,662.21,inflow,2024-07-01T11:58:57.323995+00:00,662.21,0.0,247409.57,1,11,0,7,false,false,false,false,false,247409.57
TXN_0000000116,CUST_000617,Merchant-3855,Lipa Na M-PESA (Buy Goods),326.8,outflow,2024-07-01T11:59:40.074048+00:00,0.0,326.8,127916.49,1,11,0,7,false,false,false,false,false,127916.49
TXN_0000000117,CUST_000867,User-64996,Send Money,302.57,outflow,2024-07-01T12:04:17.904846+00:00,0.0,302.57,52376.39,1,12,0,7,false,false,false,false,false,52376.39
TXN_0000000118,CUST_000168,Agent-962,Agent Deposit,1174.79,inflow,2024-07-01T12:05:03.277435+00:00,1174.79,0.0,104820.13,3,12,0,7,false,false,false,false,false,104820.13
TXN_0000000119,CUST_000800,User-59222,Received Money,522.0,inflow,2024-07-01T12:06:23.341012+00:00,522.0,0.0,180040.31,1,12,0,7,false,false,false,false,false,180040.31
TXN_0000000120,CUST_000276,User-36038,Send Money,864.12,outflow,2024-07-01T12:06:28.094846+00:00,0.0,864.12,76615.96,1,12,0,7,false,false,false,false,false,76615.96
TXN_0000000121,CUST_000148,Paybill-789202,Lipa Na M-PESA (Paybill),1514.86,outflow,2024-07-01T12:07:36.299087+00:00,0.0,1514.86,178715.34,3,12,0,7,false,false,false,false,false,178715.34
TXN_0000000122,CUST_000682,Mcheza,Lipa Na M-PESA (Buy Goods),5556.86,outflow,2024-07-01T12:15:59.547132+00:00,0.0,5556.86,162513.56,2,12,0,7,false,false,true,false,false,162513.56
TXN_0000000123,CUST_000664,User-37136,Send Money,417.5,outflow,2024-07-01T12:23:38.941780+00:00,0.0,417.5,89893.62,1,12,0,7,false,false,false,false,false,89893.62
TXN_0000000124,CUST_000223,User-20744,Received Money,13886.84,inflow,2024-07-01T12:25:09.239160+00:00,13886.84,0.0,220290.79,1,12,0,7,false,false,false,false,false,220290.79
TXN_0000000125,CUST_000702,Paybill-296849,Lipa Na M-PESA (Paybill),2689.58,outflow,2024-07-01T12:28:15.350042+00:00,0.0,2689.58,235756.56,2,12,0,7,false,false,false,false,false,235756.56
TXN_0000000126,CUST_000534,Agent-912,Agent Deposit,715.38,inflow,2024-07-01T12:30:42.898414+00:00,715.38,0.0,164314.71,1,12,0,7,false,false,false,false,false,164314.71
TXN_0000000127,CUST_000683,Paybill-617125,Lipa Na M-PESA (Paybill),1604.55,outflow,2024-07-01T12:31:03.783827+00:00,0.0,1604.55,248996.61,1,12,0,7,false,false,false,false,false,248996.61
TXN_0000000128,CUST_000953,Paybill-562199,Lipa Na M-PESA (Paybill),9780.97,outflow,2024-07-01T12:34:35.818278+00:00,0.0,9780.97,72026.56,1,12,0,7,false,false,false,false,false,72026.56
TXN_0000000129,CUST_000640,M-Shwari,Others,1331.78,outflow,2024-07-01T12:36:40.066140+00:00,0.0,1331.78,77893.82,1,12,0,7,false,false,false,false,false,77893.82
TXN_0000000130,CUST_000339,WorldRemit,Agent Deposit,181.4,inflow,2024-07-01T12:39:03.770572+00:00,181.4,0.0,64292.8,1,12,0,7,false,false,false,true,false,64292.8
TXN_0000000131,CUST_000874,User-79304,Received Money,1572.47,inflow,2024-07-01T12:45:32.223337+00:00,1572.47,0.0,247012.04,3,12,0,7,false,false,false,false,false,247012.04
TXN_0000000132,CUST_000127,Agent-705,Agent Deposit,284.21,inflow,2024-07-01T12:48:17.588950+00:00,284.21,0.0,71627.47,1,12,0,7,false,false,false,false,false,71627.47
TXN_0000000133,CUST_000742,User-63779,Received Money,544.77,inflow,2024-07-01T12:52:53.807933+00:00,544.77,0.0,65955.83,1,12,0,7,false,false,false,false,false,65955.83
TXN_0000000134,CUST_000423,User-46354,Received Money,171.69,inflow,2024-07-01T12:53:08.466455+00:00,171.69,0.0,283917.74,1,12,0,7,false,false,false,false,false,283917.74
TXN_0000000135,CUST_000149,Agent-929,Agent Withdrawal,517.66,outflow,2024-07-01T12:55:54.695185+00:00,0.0,517.66,283375.53,3,12,0,7,false,false,false,false,false,283375.53
TXN_0000000136,CUST_000993,User-43784,Send Money,207.67,outflow,2024-07-01T12:56:13.914731+00:00,0.0,207.67,153848.29,1,12,0,7,false,false,false,false,false,153848.29
TXN_0000000137,CUST_000208,User-50222,Send Money,667.67,outflow,2024-07-01T12:58:34.675886+00:00,0.0,667.67,150419.52,1,12,0,7,false,false,false,false,false,150419.52
TXN_0000000138,CUST_000285,Mcheza,Received Money,323.82,inflow,2024-07-01T13:01:20.551717+00:00,323.82,0.0,56909.25,1,13,0,7,false,false,true,false,false,56909.25
TXN_0000000139,CUST_000667,22Bet,Received Money,73.36,inflow,2024-07-01T13:01:31.571089+00:00,73.36,0.0,79353.93,1,13,0,7,false,false,true,false,true,79353.93
TXN_0000000140,CUST_000947,Fuliza,Others,6283.88,outflow,2024-07-01T13:01:46.769053+00:00,0.0,6283.88,119456.25,1,13,0,7,false,false,false,false,false,119456.25
TXN_0000000141,CUST_000174,User-29763,Send Money,843.9,outflow,2024-07-01T13:02:54.215095+00:00,0.0,843.9,313522.62,2,13,0,7,false,false,false,false,false,313522.62
TXN_0000000142,CUST_000061,Agent-684,Agent Deposit,1037.76,inflow,2024-07-01T13:07:49.375536+00:00,1037.76,0.0,134048.37,2,13,0,7,false,false,false,false,false,134048.37
TXN_0000000143,CUST_000065,Agent-277,Agent Deposit,2157.28,inflow,2024-07-01T13:13:44.307831+00:00,2157.28,0.0,159310.64,2,13,0,7,false,false,false,false,false,159310.64
